TETimestamp,PM25,SO2
2017-03-01 00:00:00+00:00,23.91,15.387
2017-03-01 00:15:00+00:00,17.2,31.824
2017-03-01 00:30:00+00:00,23.91,23.694000000000003
2017-03-01 00:45:00+00:00,17.34,16.807000000000002
2017-03-01 01:00:00+00:00,23.25,32.45
2017-03-01 01:15:00+00:00,10.11,24.066999999999997
2017-03-01 01:30:00+00:00,4.51,1.49
2017-03-01 01:45:00+00:00,4.25,0.285
2017-03-01 02:00:00+00:00,4.61,0.212
2017-03-01 02:15:00+00:00,4.41,0.285
2017-03-01 02:30:00+00:00,4.98,0.192
2017-03-01 02:45:00+00:00,6.79,0.087
2017-03-01 03:00:00+00:00,4.6,1.588
2017-03-01 03:15:00+00:00,5.4,0.773
2017-03-01 03:30:00+00:00,6.19,0.76
2017-03-01 03:45:00+00:00,10.9,8.96
2017-03-01 04:00:00+00:00,15.61,16.083
2017-03-01 04:15:00+00:00,9.09,17.811
2017-03-01 04:30:00+00:00,8.85,7.257000000000001
2017-03-01 04:45:00+00:00,5.78,2.138
2017-03-01 05:00:00+00:00,7.77,0.882
2017-03-01 05:15:00+00:00,7.91,9.887
2017-03-01 05:30:00+00:00,28.12,23.635
2017-03-01 05:45:00+00:00,38.18,39.088
2017-03-01 06:00:00+00:00,45.17,40.914
2017-03-01 06:15:00+00:00,49.01,47.57
2017-03-01 06:30:00+00:00,17.25,43.215
2017-03-01 06:45:00+00:00,24.47,26.239
2017-03-01 07:00:00+00:00,6.43,24.335
2017-03-01 07:15:00+00:00,6.54,9.966000000000001
2017-03-01 07:30:00+00:00,4.59,2.892
2017-03-01 07:45:00+00:00,7.98,5.792999999999999
2017-03-01 08:00:00+00:00,14.63,23.89
2017-03-01 08:15:00+00:00,7.33,10.436
2017-03-01 08:30:00+00:00,6.02,2.291
2017-03-01 08:45:00+00:00,11.34,8.251
2017-03-01 09:00:00+00:00,15.59,15.152999999999999
2017-03-01 09:15:00+00:00,17.16,12.189
2017-03-01 09:30:00+00:00,40.18,33.525
2017-03-01 09:45:00+00:00,16.67,33.756
2017-03-01 10:00:00+00:00,33.64,25.88
2017-03-01 10:15:00+00:00,14.42,23.436999999999998
2017-03-01 10:30:00+00:00,35.91,28.101
2017-03-01 10:45:00+00:00,43.18,26.656
2017-03-01 11:00:00+00:00,16.8,36.518
2017-03-01 11:15:00+00:00,10.83,20.195999999999998
2017-03-01 11:30:00+00:00,7.22,4.928
2017-03-01 11:45:00+00:00,6.23,2.302
2017-03-01 12:00:00+00:00,9.06,4.273
2017-03-01 12:15:00+00:00,16.92,5.776
2017-03-01 12:30:00+00:00,18.85,17.772000000000002
2017-03-01 12:45:00+00:00,9.01,10.811
2017-03-01 13:00:00+00:00,4.63,1.7069999999999999
2017-03-01 13:15:00+00:00,10.56,4.888999999999999
2017-03-01 13:30:00+00:00,43.97,10.097000000000001
2017-03-01 13:45:00+00:00,9.2,5.608
2017-03-01 14:00:00+00:00,9.3,4.894
2017-03-01 14:15:00+00:00,24.61,3.863
2017-03-01 14:30:00+00:00,15.6,14.818
2017-03-01 14:45:00+00:00,15.92,14.334000000000001
2017-03-01 15:00:00+00:00,18.7,14.399000000000001
2017-03-01 15:15:00+00:00,30.16,20.648000000000003
2017-03-01 15:30:00+00:00,24.99,29.628
2017-03-01 15:45:00+00:00,20.06,13.71
2017-03-01 16:00:00+00:00,3.06,11.078
2017-03-01 16:15:00+00:00,5.75,2.526
2017-03-01 16:30:00+00:00,12.57,14.587
2017-03-01 16:45:00+00:00,3.24,14.556
2017-03-01 17:00:00+00:00,2.78,-0.026000000000000002
2017-03-01 17:15:00+00:00,3.28,-0.09699999999999999
2017-03-01 17:30:00+00:00,3.02,10.031
2017-03-01 17:45:00+00:00,3.07,-0.022000000000000002
2017-03-01 18:00:00+00:00,3.49,3.551
2017-03-01 18:15:00+00:00,2.37,0.759
2017-03-01 18:30:00+00:00,2.02,-0.434
2017-03-01 18:45:00+00:00,1.94,0.33899999999999997
2017-03-01 19:00:00+00:00,2.1,-0.589
2017-03-01 19:15:00+00:00,3.27,-0.386
2017-03-01 19:30:00+00:00,2.37,1.9169999999999998
2017-03-01 19:45:00+00:00,1.94,-0.42200000000000004
2017-03-01 20:00:00+00:00,2.27,-0.46299999999999997
2017-03-01 20:15:00+00:00,2.77,-0.065
2017-03-01 20:30:00+00:00,2.08,0.001
2017-03-01 20:45:00+00:00,1.76,0.17300000000000001
2017-03-01 21:00:00+00:00,2.08,0.032
2017-03-01 21:15:00+00:00,1.81,0.349
2017-03-01 21:30:00+00:00,2.81,-0.46799999999999997
2017-03-01 21:45:00+00:00,1.99,-0.51
2017-03-01 22:00:00+00:00,5.59,-0.397
2017-03-01 22:15:00+00:00,33.07,0.14
2017-03-01 22:30:00+00:00,22.91,-0.204
2017-03-01 22:45:00+00:00,9.7,-0.297
2017-03-01 23:00:00+00:00,3.54,-0.3
2017-03-01 23:15:00+00:00,5.03,2.039
2017-03-01 23:30:00+00:00,11.33,0.84
2017-03-01 23:45:00+00:00,5.26,2.7689999999999997
2017-03-02 00:00:00+00:00,4.06,3.417
2017-03-02 00:15:00+00:00,5.56,5.603
2017-03-02 00:30:00+00:00,5.6,14.673
2017-03-02 00:45:00+00:00,5.84,3.605
2017-03-02 01:00:00+00:00,4.95,1.12
2017-03-02 01:15:00+00:00,5.65,8.266
2017-03-02 01:30:00+00:00,8.74,24.592
2017-03-02 01:45:00+00:00,11.78,34.071
2017-03-02 02:00:00+00:00,8.56,37.32
2017-03-02 02:15:00+00:00,18.1,24.005
2017-03-02 02:30:00+00:00,14.63,43.107
2017-03-02 02:45:00+00:00,13.55,31.155
2017-03-02 03:00:00+00:00,14.84,32.818000000000005
2017-03-02 03:15:00+00:00,6.28,24.059
2017-03-02 03:30:00+00:00,13.76,21.389
2017-03-02 03:45:00+00:00,11.3,18.274
2017-03-02 04:00:00+00:00,10.35,14.390999999999998
2017-03-02 04:15:00+00:00,11.82,14.908
2017-03-02 04:30:00+00:00,17.88,23.721999999999998
2017-03-02 04:45:00+00:00,19.08,32.578
2017-03-02 05:00:00+00:00,9.84,24.213
2017-03-02 05:15:00+00:00,15.17,20.819000000000003
2017-03-02 05:30:00+00:00,8.58,10.594000000000001
2017-03-02 05:45:00+00:00,16.33,19.922
2017-03-02 06:00:00+00:00,29.94,38.405
2017-03-02 06:15:00+00:00,14.74,36.489000000000004
2017-03-02 06:30:00+00:00,4.98,16.471
2017-03-02 06:45:00+00:00,9.98,8.176
2017-03-02 07:00:00+00:00,20.13,24.561999999999998
2017-03-02 07:15:00+00:00,10.97,25.819000000000003
2017-03-02 07:30:00+00:00,9.65,13.517000000000001
2017-03-02 07:45:00+00:00,5.33,10.287
2017-03-02 08:00:00+00:00,6.73,0.5760000000000001
2017-03-02 08:15:00+00:00,9.25,7.611000000000001
2017-03-02 08:30:00+00:00,18.85,13.28
2017-03-02 08:45:00+00:00,10.54,12.338
2017-03-02 09:00:00+00:00,30.02,18.839000000000002
2017-03-02 09:15:00+00:00,14.68,24.118000000000002
2017-03-02 09:30:00+00:00,28.47,41.144
2017-03-02 09:45:00+00:00,29.72,35.576
2017-03-02 10:00:00+00:00,14.62,31.783
2017-03-02 10:15:00+00:00,40.34,29.581999999999997
2017-03-02 10:30:00+00:00,28.92,44.92
2017-03-02 10:45:00+00:00,37.41,47.343999999999994
2017-03-02 11:00:00+00:00,31.51,25.103
2017-03-02 11:15:00+00:00,21.35,50.938
2017-03-02 11:30:00+00:00,31.12,46.434
2017-03-02 11:45:00+00:00,33.03,53.089
2017-03-02 12:00:00+00:00,32.61,45.048
2017-03-02 12:15:00+00:00,26.6,44.802
2017-03-02 12:30:00+00:00,22.16,32.209
2017-03-02 12:45:00+00:00,22.59,42.635
2017-03-02 13:00:00+00:00,27.32,35.431
2017-03-02 13:15:00+00:00,31.19,43.566
2017-03-02 13:30:00+00:00,37.75,42.31399999999999
2017-03-02 13:45:00+00:00,19.06,39.477
2017-03-02 14:00:00+00:00,17.35,37.425
2017-03-02 14:15:00+00:00,19.22,33.819
2017-03-02 14:30:00+00:00,18.62,29.397
2017-03-02 14:45:00+00:00,10.43,26.680999999999997
2017-03-02 15:00:00+00:00,17.67,20.187
2017-03-02 15:15:00+00:00,6.23,30.468000000000004
2017-03-02 15:30:00+00:00,7.83,13.300999999999998
2017-03-02 15:45:00+00:00,3.98,8.951
2017-03-02 16:00:00+00:00,3.49,10.235
2017-03-02 16:15:00+00:00,5.78,19.352
2017-03-02 16:30:00+00:00,5.3,17.609
2017-03-02 16:45:00+00:00,4.68,7.167000000000001
2017-03-02 17:00:00+00:00,3.43,8.597000000000001
2017-03-02 17:15:00+00:00,3.05,3.355
2017-03-02 17:30:00+00:00,8.99,10.991
2017-03-02 17:45:00+00:00,2.48,8.907
2017-03-02 18:01:00+00:00,4.08,23.787
2017-03-02 18:16:00+00:00,2.2,15.734000000000002
2017-03-02 18:31:00+00:00,5.66,0.002
2017-03-02 18:46:00+00:00,3.24,40.078
2017-03-02 19:01:00+00:00,2.77,5.856
2017-03-02 19:16:00+00:00,3.21,3.495
2017-03-02 19:31:00+00:00,2.99,10.232000000000001
2017-03-02 19:46:00+00:00,1.87,6.722
2017-03-02 20:01:00+00:00,2.78,0.8390000000000001
2017-03-02 20:16:00+00:00,2.07,2.8280000000000003
2017-03-02 20:31:00+00:00,1.97,3.319
2017-03-02 20:46:00+00:00,2.67,1.217
2017-03-02 21:01:00+00:00,4.68,3.408
2017-03-02 21:16:00+00:00,2.35,28.316
2017-03-02 21:31:00+00:00,2.15,2.415
2017-03-02 21:46:00+00:00,3.46,2.2769999999999997
2017-03-02 22:01:00+00:00,2.88,2.053
2017-03-02 22:16:00+00:00,4.22,2.852
2017-03-02 22:31:00+00:00,3.77,7.744
2017-03-02 22:46:00+00:00,4.27,7.827999999999999
2017-03-02 23:01:00+00:00,6.22,14.465
2017-03-02 23:16:00+00:00,8.3,15.663
2017-03-02 23:31:00+00:00,2.6,46.568999999999996
2017-03-02 23:46:00+00:00,3.73,1.817
2017-03-03 00:01:00+00:00,3.04,10.418
2017-03-03 00:16:00+00:00,2.61,3.97
2017-03-03 00:31:00+00:00,2.84,1.367
2017-03-03 00:46:00+00:00,3.34,0.654
2017-03-03 01:01:00+00:00,3.43,1.696
2017-03-03 01:16:00+00:00,2.17,0.769
2017-03-03 01:31:00+00:00,2.85,0.5589999999999999
2017-03-03 01:46:00+00:00,3.29,1.755
2017-03-03 02:01:00+00:00,4.74,0.687
2017-03-03 02:16:00+00:00,5.45,1.2930000000000001
2017-03-03 02:31:00+00:00,11.04,4.1
2017-03-03 02:46:00+00:00,7.87,18.247
2017-03-03 03:01:00+00:00,10.41,6.247000000000001
2017-03-03 03:16:00+00:00,11.11,14.703
2017-03-03 03:31:00+00:00,16.97,17.191
2017-03-03 03:46:00+00:00,12.95,27.587
2017-03-03 04:01:00+00:00,15.34,19.464000000000002
2017-03-03 04:16:00+00:00,24.33,22.753
2017-03-03 04:31:00+00:00,26.97,38.898
2017-03-03 04:46:00+00:00,11.42,40.650999999999996
2017-03-03 05:01:00+00:00,11.13,12.280999999999999
2017-03-03 05:16:00+00:00,28.75,9.455
2017-03-03 05:31:00+00:00,22.36,41.498999999999995
2017-03-03 05:46:00+00:00,18.76,29.628
2017-03-03 06:01:00+00:00,39.29,23.359
2017-03-03 06:16:00+00:00,43.69,56.05
2017-03-03 06:31:00+00:00,12.63,57.61600000000001
2017-03-03 06:46:00+00:00,31.94,16.887999999999998
2017-03-03 07:01:00+00:00,13.24,60.972
2017-03-03 07:16:00+00:00,17.27,21.629
2017-03-03 07:31:00+00:00,33.19,25.053
2017-03-03 07:46:00+00:00,19.78,44.647
2017-03-03 08:01:00+00:00,22.91,29.326
2017-03-03 08:16:00+00:00,29.13,34.114000000000004
2017-03-03 08:31:00+00:00,18.35,41.085
2017-03-03 08:46:00+00:00,28.75,24.87
2017-03-03 09:01:00+00:00,11.02,45.27
2017-03-03 09:16:00+00:00,12.61,17.831
2017-03-03 09:31:00+00:00,16.25,19.91
2017-03-03 09:46:00+00:00,27.54,28.285
2017-03-03 10:01:00+00:00,15.83,44.938
2017-03-03 10:16:00+00:00,28.17,23.278000000000002
2017-03-03 10:31:00+00:00,34.93,40.912
2017-03-03 10:46:00+00:00,32.05,45.691
2017-03-03 11:01:00+00:00,14.96,41.63399999999999
2017-03-03 11:16:00+00:00,28.87,16.628
2017-03-03 11:31:00+00:00,22.76,35.446
2017-03-03 11:46:00+00:00,30.26,37.688
2017-03-03 12:01:00+00:00,37.92,51.661
2017-03-03 12:16:00+00:00,23.07,55.897
2017-03-03 12:31:00+00:00,16.77,31.386
2017-03-03 12:46:00+00:00,19.49,21.225
2017-03-03 13:01:00+00:00,36.52,25.815
2017-03-03 13:16:00+00:00,14.26,52.746
2017-03-03 13:31:00+00:00,25.22,16.475
2017-03-03 13:46:00+00:00,33.79,37.966
2017-03-03 14:01:00+00:00,20.99,44.106
2017-03-03 14:16:00+00:00,13.05,32.092
2017-03-03 14:31:00+00:00,7.44,21.859
2017-03-03 14:46:00+00:00,16.25,10.296
2017-03-03 15:01:00+00:00,19.37,31.511
2017-03-03 15:16:00+00:00,9.22,45.236000000000004
2017-03-03 15:31:00+00:00,6.01,22.372
2017-03-03 15:46:00+00:00,7.04,10.102
2017-03-03 16:01:00+00:00,14.57,8.277999999999999
2017-03-03 16:16:00+00:00,3.09,39.221
2017-03-03 16:31:00+00:00,8.9,0.684
2017-03-03 16:46:00+00:00,9.04,24.814
2017-03-03 17:01:00+00:00,2.81,20.735
2017-03-03 17:16:00+00:00,9.5,2.6919999999999997
2017-03-03 17:31:00+00:00,8.04,46.277
2017-03-03 17:46:00+00:00,5.18,24.877
2017-03-03 18:01:00+00:00,3.06,13.288
2017-03-03 18:16:00+00:00,3.31,2.369
2017-03-03 18:31:00+00:00,2.94,3.8710000000000004
2017-03-03 18:46:00+00:00,3.06,0.5
2017-03-03 19:01:00+00:00,3.28,9.519
2017-03-03 19:16:00+00:00,4.32,12.217
2017-03-03 19:31:00+00:00,1.99,14.589
2017-03-03 19:46:00+00:00,1.8,-0.163
2017-03-03 20:01:00+00:00,1.94,-0.619
2017-03-03 20:16:00+00:00,1.98,-0.789
2017-03-03 20:31:00+00:00,2.17,3.5860000000000003
2017-03-03 20:46:00+00:00,2.02,-0.955
2017-03-03 21:01:00+00:00,1.93,3.181
2017-03-03 21:16:00+00:00,2.33,-0.784
2017-03-03 21:31:00+00:00,2.77,-0.233
2017-03-03 21:46:00+00:00,8.81,5.672000000000001
2017-03-03 22:01:00+00:00,3.38,39.313
2017-03-03 22:16:00+00:00,6.74,10.776
2017-03-03 22:31:00+00:00,3.82,28.85
2017-03-03 22:46:00+00:00,2.33,0.54
2017-03-03 23:01:00+00:00,4.99,1.6540000000000001
2017-03-03 23:16:00+00:00,3.99,4.525
2017-03-03 23:31:00+00:00,10.3,4.917
2017-03-03 23:46:00+00:00,17.97,13.606
2017-03-04 00:01:00+00:00,39.31,26.908
2017-03-04 00:16:00+00:00,31.35,52.18899999999999
2017-03-04 00:31:00+00:00,26.56,44.655
2017-03-04 00:46:00+00:00,37.71,31.078000000000003
2017-03-04 01:01:00+00:00,27.83,49.803000000000004
2017-03-04 01:16:00+00:00,12.2,35.348
2017-03-04 01:31:00+00:00,15.24,15.62
2017-03-04 01:46:00+00:00,19.74,18.136
2017-03-04 02:01:00+00:00,18.42,24.475
2017-03-04 02:16:00+00:00,7.79,20.683000000000003
2017-03-04 02:31:00+00:00,6.82,6.236000000000001
2017-03-04 02:46:00+00:00,9.66,3.839
2017-03-04 03:01:00+00:00,17.12,6.176
2017-03-04 03:16:00+00:00,24.92,15.26
2017-03-04 03:31:00+00:00,14.03,30.503
2017-03-04 03:46:00+00:00,11.62,15.17
2017-03-04 04:01:00+00:00,20.02,10.333
2017-03-04 04:16:00+00:00,39.74,22.686999999999998
2017-03-04 04:31:00+00:00,63.98,51.394
2017-03-04 04:46:00+00:00,60.16,68.346
2017-03-04 05:01:00+00:00,9.75,65.372
2017-03-04 05:16:00+00:00,11.57,8.538
2017-03-04 05:31:00+00:00,34.69,9.082
2017-03-04 05:46:00+00:00,39.6,34.327
2017-03-04 06:01:00+00:00,24.21,39.955999999999996
2017-03-04 06:16:00+00:00,18.0,31.246
2017-03-04 06:31:00+00:00,6.1,16.635
2017-03-04 06:46:00+00:00,4.87,0.015
2017-03-04 07:01:00+00:00,5.3,-0.045
2017-03-04 07:16:00+00:00,4.77,0.055
2017-03-04 07:31:00+00:00,4.76,-0.37200000000000005
2017-03-04 07:46:00+00:00,4.73,0.11699999999999999
2017-03-04 08:01:00+00:00,5.0,-0.34600000000000003
2017-03-04 08:16:00+00:00,5.58,-0.076
2017-03-04 08:31:00+00:00,11.25,-0.045
2017-03-04 08:46:00+00:00,11.41,3.545
2017-03-04 09:01:00+00:00,12.92,7.916
2017-03-04 09:16:00+00:00,12.93,13.082
2017-03-04 09:31:00+00:00,16.64,14.815999999999999
2017-03-04 09:46:00+00:00,7.51,21.726999999999997
2017-03-04 10:01:00+00:00,7.51,7.755
2017-03-04 10:16:00+00:00,12.59,5.854
2017-03-04 10:31:00+00:00,12.01,14.270999999999999
2017-03-04 10:46:00+00:00,10.5,13.527999999999999
2017-03-04 11:01:00+00:00,28.19,12.100999999999999
2017-03-04 11:16:00+00:00,35.92,42.422
2017-03-04 11:31:00+00:00,39.64,49.638999999999996
2017-03-04 11:46:00+00:00,37.35,52.754
2017-03-04 12:01:00+00:00,32.11,51.576
2017-03-04 12:16:00+00:00,16.31,44.452
2017-03-04 12:31:00+00:00,21.57,20.713
2017-03-04 12:46:00+00:00,11.73,24.576
2017-03-04 13:01:00+00:00,9.3,11.362
2017-03-04 13:16:00+00:00,7.64,8.424
2017-03-04 13:31:00+00:00,8.84,4.415
2017-03-04 13:46:00+00:00,10.23,4.119
2017-03-04 14:01:00+00:00,9.24,2.074
2017-03-04 14:16:00+00:00,9.58,7.746
2017-03-04 14:31:00+00:00,8.68,9.707
2017-03-04 14:46:00+00:00,11.25,12.821
2017-03-04 15:01:00+00:00,9.54,24.25
2017-03-04 15:16:00+00:00,9.88,28.447
2017-03-04 15:31:00+00:00,6.37,30.95
2017-03-04 15:46:00+00:00,6.45,8.718
2017-03-04 16:01:00+00:00,3.99,12.575999999999999
2017-03-04 16:16:00+00:00,6.81,1.791
2017-03-04 16:31:00+00:00,7.04,25.143
2017-03-04 16:46:00+00:00,6.81,22.662
2017-03-04 17:01:00+00:00,6.29,12.81
2017-03-04 17:16:00+00:00,6.71,8.204
2017-03-04 17:31:00+00:00,4.38,18.254
2017-03-04 17:46:00+00:00,5.55,4.888999999999999
2017-03-04 18:01:00+00:00,6.64,16.578
2017-03-04 18:16:00+00:00,3.76,22.385
2017-03-04 18:31:00+00:00,4.07,5.832999999999999
2017-03-04 18:46:00+00:00,4.89,4.013
2017-03-04 19:01:00+00:00,3.24,12.432
2017-03-04 19:16:00+00:00,3.66,-0.162
2017-03-04 19:31:00+00:00,6.83,4.138999999999999
2017-03-04 19:46:00+00:00,2.86,21.895
2017-03-04 20:01:00+00:00,6.29,1.4969999999999999
2017-03-04 20:16:00+00:00,4.12,28.363000000000003
2017-03-04 20:31:00+00:00,2.64,16.658
2017-03-04 20:46:00+00:00,4.3,0.24
2017-03-04 21:01:00+00:00,6.43,13.585999999999999
2017-03-04 21:16:00+00:00,2.69,31.601999999999997
2017-03-04 21:31:00+00:00,4.72,1.732
2017-03-04 21:46:00+00:00,2.79,14.088
2017-03-04 22:01:00+00:00,5.13,1.7169999999999999
2017-03-04 22:16:00+00:00,3.17,22.445
2017-03-04 22:31:00+00:00,2.82,3.891
2017-03-04 22:46:00+00:00,2.91,1.3840000000000001
2017-03-04 23:01:00+00:00,3.1,-0.377
2017-03-04 23:16:00+00:00,4.54,1.75
2017-03-04 23:31:00+00:00,5.28,17.615
2017-03-04 23:46:00+00:00,4.58,22.271
2017-03-05 00:01:00+00:00,5.0,24.511
2017-03-05 00:16:00+00:00,8.39,23.015
2017-03-05 00:31:00+00:00,6.59,45.522
2017-03-05 00:46:00+00:00,7.35,32.671
2017-03-05 01:01:00+00:00,3.69,26.808000000000003
2017-03-05 01:16:00+00:00,4.44,3.6889999999999996
2017-03-05 01:31:00+00:00,5.07,6.6339999999999995
2017-03-05 01:46:00+00:00,4.8,6.792999999999999
2017-03-05 02:01:00+00:00,7.0,0.43700000000000006
2017-03-05 02:16:00+00:00,9.86,0.222
2017-03-05 02:31:00+00:00,11.5,0.92
2017-03-05 02:46:00+00:00,13.74,4.9719999999999995
2017-03-05 03:01:00+00:00,14.47,5.806
2017-03-05 03:16:00+00:00,14.39,7.438
2017-03-05 03:31:00+00:00,16.03,6.574
2017-03-05 03:46:00+00:00,14.68,10.959000000000001
2017-03-05 04:01:00+00:00,14.35,12.895
2017-03-05 04:16:00+00:00,21.48,14.793
2017-03-05 04:31:00+00:00,16.64,37.611
2017-03-05 04:46:00+00:00,36.9,24.85
2017-03-05 05:01:00+00:00,32.64,55.373000000000005
2017-03-05 05:16:00+00:00,21.75,51.605
2017-03-05 05:31:00+00:00,18.97,31.884
2017-03-05 05:46:00+00:00,24.5,32.556999999999995
2017-03-05 06:01:00+00:00,25.14,42.193000000000005
2017-03-05 06:16:00+00:00,18.4,43.693000000000005
2017-03-05 06:31:00+00:00,16.13,31.136
2017-03-05 06:46:00+00:00,20.95,26.302
2017-03-05 07:01:00+00:00,14.81,35.074
2017-03-05 07:16:00+00:00,15.74,23.065
2017-03-05 07:31:00+00:00,11.19,23.443
2017-03-05 07:46:00+00:00,5.37,11.623
2017-03-05 08:01:00+00:00,7.2,0.402
2017-03-05 08:16:00+00:00,14.46,0.762
2017-03-05 08:31:00+00:00,10.92,16.241
2017-03-05 08:46:00+00:00,14.31,12.275
2017-03-05 09:01:00+00:00,11.1,18.846
2017-03-05 09:16:00+00:00,11.89,12.16
2017-03-05 09:31:00+00:00,8.57,10.344000000000001
2017-03-05 09:46:00+00:00,8.55,3.917
2017-03-05 10:01:00+00:00,7.65,2.805
2017-03-05 10:16:00+00:00,25.47,2.306
2017-03-05 10:31:00+00:00,30.71,36.944
2017-03-05 10:46:00+00:00,17.1,49.233000000000004
2017-03-05 11:01:00+00:00,22.79,29.979
2017-03-05 11:16:00+00:00,21.18,36.352
2017-03-05 11:31:00+00:00,24.35,29.261
2017-03-05 11:46:00+00:00,25.48,33.55
2017-03-05 12:01:00+00:00,30.88,37.665
2017-03-05 12:16:00+00:00,12.15,40.549
2017-03-05 12:31:00+00:00,18.01,13.702
2017-03-05 12:46:00+00:00,9.02,22.403000000000002
2017-03-05 13:01:00+00:00,6.95,5.749
2017-03-05 13:16:00+00:00,8.03,0.968
2017-03-05 13:31:00+00:00,9.61,0.09
2017-03-05 13:46:00+00:00,7.02,0.053
2017-03-05 14:01:00+00:00,5.6,-0.36200000000000004
2017-03-05 14:16:00+00:00,6.26,-0.369
2017-03-05 14:31:00+00:00,5.47,-0.4
2017-03-05 14:46:00+00:00,4.82,3.1839999999999997
2017-03-05 15:01:00+00:00,6.33,1.2919999999999998
2017-03-05 15:16:00+00:00,5.38,9.9
2017-03-05 15:31:00+00:00,10.8,6.102
2017-03-05 15:46:00+00:00,5.38,31.184
2017-03-05 16:01:00+00:00,6.54,9.297
2017-03-05 16:16:00+00:00,5.46,22.993000000000002
2017-03-05 16:31:00+00:00,4.86,11.16
2017-03-05 16:46:00+00:00,4.12,2.17
2017-03-05 17:01:00+00:00,5.69,5.234
2017-03-05 17:16:00+00:00,2.75,16.128
2017-03-05 17:31:00+00:00,3.1,0.354
2017-03-05 17:46:00+00:00,3.6,-0.865
2017-03-05 18:01:00+00:00,2.71,0.9079999999999999
2017-03-05 18:16:00+00:00,4.29,-0.815
2017-03-05 18:31:00+00:00,5.77,9.305
2017-03-05 18:46:00+00:00,3.39,24.284000000000002
2017-03-05 19:01:00+00:00,4.87,4.842
2017-03-05 19:16:00+00:00,2.79,16.055
2017-03-05 19:31:00+00:00,2.31,-0.623
2017-03-05 19:46:00+00:00,2.44,-0.562
2017-03-05 20:01:00+00:00,2.19,-0.835
2017-03-05 20:16:00+00:00,2.93,-0.8590000000000001
2017-03-05 20:31:00+00:00,4.11,-0.609
2017-03-05 20:46:00+00:00,2.65,14.21
2017-03-05 21:01:00+00:00,2.61,-0.542
2017-03-05 21:16:00+00:00,2.65,-0.40700000000000003
2017-03-05 21:31:00+00:00,3.78,-0.903
2017-03-05 21:46:00+00:00,2.76,10.477
2017-03-05 22:01:00+00:00,2.82,-0.546
2017-03-05 22:16:00+00:00,2.8,0.419
2017-03-05 22:31:00+00:00,2.44,-0.033
2017-03-05 22:46:00+00:00,4.6,-0.6890000000000001
2017-03-05 23:01:00+00:00,4.91,19.778
2017-03-05 23:16:00+00:00,5.0,26.951999999999998
2017-03-05 23:31:00+00:00,5.72,13.705
2017-03-05 23:46:00+00:00,6.86,19.175
2017-03-06 00:01:00+00:00,6.29,33.976
2017-03-06 00:16:00+00:00,5.86,18.65
2017-03-06 00:31:00+00:00,10.22,22.381999999999998
2017-03-06 00:46:00+00:00,9.92,49.902
2017-03-06 01:01:00+00:00,6.24,43.926
2017-03-06 01:16:00+00:00,7.57,14.899000000000001
2017-03-06 01:31:00+00:00,6.7,13.552999999999999
2017-03-06 01:46:00+00:00,5.82,7.074
2017-03-06 02:01:00+00:00,5.55,6.079
2017-03-06 02:16:00+00:00,9.74,4.227
2017-03-06 02:31:00+00:00,5.08,14.974
2017-03-06 02:46:00+00:00,7.4,1.925
2017-03-06 03:01:00+00:00,8.49,10.46
2017-03-06 03:16:00+00:00,8.14,11.052999999999999
2017-03-06 03:31:00+00:00,5.01,10.806
2017-03-06 03:46:00+00:00,3.42,1.742
2017-03-06 04:01:00+00:00,4.47,1.024
2017-03-06 04:16:00+00:00,6.56,2.863
2017-03-06 04:31:00+00:00,10.3,7.751
2017-03-06 04:46:00+00:00,17.9,17.171
2017-03-06 05:01:00+00:00,14.27,33.188
2017-03-06 05:16:00+00:00,19.59,22.505
2017-03-06 05:31:00+00:00,19.22,31.9
2017-03-06 05:46:00+00:00,11.33,33.141
2017-03-06 06:01:00+00:00,17.65,17.611
2017-03-06 06:16:00+00:00,7.31,24.715999999999998
2017-03-06 06:31:00+00:00,4.06,8.163
2017-03-06 06:46:00+00:00,5.61,0.023
2017-03-06 07:01:00+00:00,4.95,1.5959999999999999
2017-03-06 07:16:00+00:00,9.16,-0.239
2017-03-06 07:31:00+00:00,10.11,5.02
2017-03-06 07:46:00+00:00,6.52,5.336
2017-03-06 08:01:00+00:00,5.24,3.3710000000000004
2017-03-06 08:16:00+00:00,6.19,1.054
2017-03-06 08:31:00+00:00,5.73,2.9410000000000003
2017-03-06 08:46:00+00:00,7.16,0.598
2017-03-06 09:01:00+00:00,8.29,0.444
2017-03-06 09:16:00+00:00,15.64,0.483
2017-03-06 09:31:00+00:00,14.88,11.534
2017-03-06 09:46:00+00:00,19.91,16.746
2017-03-06 10:01:00+00:00,33.68,24.953000000000003
2017-03-06 10:16:00+00:00,31.21,53.699
2017-03-06 10:31:00+00:00,21.07,44.376000000000005
2017-03-06 10:46:00+00:00,22.49,29.315
2017-03-06 11:01:00+00:00,16.64,34.839
2017-03-06 11:16:00+00:00,15.08,22.641
2017-03-06 11:31:00+00:00,13.68,18.855999999999998
2017-03-06 11:46:00+00:00,20.49,19.264
2017-03-06 12:01:00+00:00,32.99,27.2
2017-03-06 12:16:00+00:00,10.31,55.118
2017-03-06 12:31:00+00:00,12.05,10.097000000000001
2017-03-06 12:46:00+00:00,8.26,11.879000000000001
2017-03-06 13:01:00+00:00,11.72,4.063
2017-03-06 13:16:00+00:00,24.19,8.191
